英文,詞性,中文
compact,adj.,小巧的，密實的
compact,vt.,壓縮，擠壓
compact,n.,粉盒，小型轎車
juvenile,adj.,青少年的
juvenile,n.,青少年
adolescent,adj.,青春期的
adolescent,n.,青少年
dough,n.,麵團，錢（不可數）
stall,n.,（露天）小攤位
stall,v.,引擎熄火
stall,v.,拖延
booth,n.,亭子
skeleton,n.,（整具的）骨骼
skull,n.,頭骨
spine,n.,脊椎骨
rib,n.,肋骨
rib,vt.,調侃（~ sb about sth）
wilderness,n.,荒野，野外（in the ~）
wildlife,n.,野生生物（集合名詞不可數）
nobility,n.,貴族，高貴
torment,vt./n.,折磨，使痛苦
chord,n.,和弦
choir,n.,合唱團
attendance,n.,出席
agenda,n.,議程，工作事項（be on the ~）
aisle,n.,（座椅間的）走道
allergy,n.,過敏
allergic,adj.,過敏的（be ~ to）
shrewd,adj.,精明的
rim,n.,邊緣
rim,v.,裝邊於
diagnose,vt.,診斷
diagnosis,n.,診斷
abundant,adj.,充裕的
incentive,n.,動機，動力
incentive,adj.,作為動力的
compatible,adj.,相容的，能共處的
advocate,v.,提倡，主張
advocate,n.,支持者，擁護者
confidential,adj.,機密的，保密的
outlet,n.,宣洩途徑，銷路，通路，暢貨中心
transformation,n.,變形，轉型
cemetery,n.,公墓
coffin,n.,棺材，靈柩
burial,n.,埋葬，葬禮
shed,vt.,脫落
shed,n.,小屋
biological,adj.,生物學的
raid,vt./n.,突襲，突然搜查
riot,n./vi.,暴動
aggression,n.,侵略，攻擊
analyst,n.,分析師
autonomy,n.,自治，自主
volcano,n.,火山
