英文,詞性,中文
bureau,n.,(政府機構的)局、處；辦事處、聯絡處
bureaucracy,n.,官僚制度；繁文縟節
categorize,v.,將...分類
massive,adj.,巨大的；大量的
extension,n.,延期；擴大；伸展；（電話）分機
extensive,adj.,廣泛的；大量的
versus,prep.,對抗(vs.)
strain,n.v.,拉緊
strain,n.v.,（肌肉）拉傷，損傷
strain,n.,緊張，壓力
strain,vt.,盡力
legislation,n.,立法（程序），法規
legislative,adj.,立法的
lawmaker,n.,立法者
specialist,n.,專家
specialize,v.,專攻
specialty,n.,專長，名產
resume,v.,重新開始；重返
resume,n.,履歷表
enterprise,n.,企業
entrepreneur,n.,企業家
observer,n.,觀察員
index,n.,索引，指數，指標
index,v.,為...編索引
residence,n.,居住，住宅；合法居住資格
resident,n.,居民；住院醫生
resident,adj.,居住的
residential,adj.,居住的;住宅的
prior,adj.,先前的;優先的
prior,adv.,在前地
prior,n.,修道院副院長
setting,n.,環境；背景
insecure,adj.,不安全的；沒自信的
particle,n.,微粒；粒子
molecule,n.,分子
worship,v.n.,崇拜；信仰
fabric,n.,布料；結構
weird,adj.,奇怪的
bizarre,adj.,奇異的
accommodate,v.,容納；提供膳宿
accommodation,n.,住宿
blush,v.n.,臉紅
boost,v.,提升；增加
boost,n.,促進；推動
deadly,adj.adv.,致命的
deadly,adv.,非常地
compensate,v.,賠償／彌補
compensation,n.,補償
attorney,n.,律師
epidemic,n.adj.,流行病；傳染病
epidemic,adj.,傳染（病）的
essence,n.,本質;要素;精華;萃取物
galaxy,n.,星系;一群出色的人
