英文,詞性,中文
parallel,adj.,平行的
parallel,n.,相似處
parallel,vt.,與...平行，相似
stack,n.,(整齊的)一疊
stack,v.,把...疊起來
noticeable,adj.,顯著的
cluster,n.,群，串，束
cluster,v.,聚集
tournament,n.,錦標賽，巡迴賽
asset,n.,資產(常用複數)，有用的人/物/特質
journalism,n.,新聞學，新聞業
journalist,n.,新聞工作者，記者
mock,vt.,(藉由模仿)嘲笑
mock,n.,嘲笑的對象
mock,adj.,模擬的
intent,n.,意圖，目的
intent,adj.,專心致志的
soak,v./n.,浸泡，滲透
tin,n.,錫(不可數)
tin,vt.,在...上鍍錫
bronze,n.,青銅
trim,vt./n.,修剪(頭髮與植物)
trim,adj.,整齊的，健康苗條的
prune,v.,修剪
thigh,n.,大腿
arena,n.,競技場
alien,adj.,外國的，陌生的
alien,n.,外星人，僑民
stereotype,n.,刻板印象
nominate,vt.,提名
nomination,n.,提名
nominee,n.,被提名者
thorn,n.,刺
cathedral,n.,大教堂
braid,n.,辮子
braid,v.,把頭髮綁成辮子
crude,adj.,粗糙的，粗俗的
crude,n.,原油
symptom,n.,症狀
syndrome,n.,併發症，症候群
obscure,adj.,模糊的，難懂的，不出名的
obscure,vt.,使看不清楚，難以理解
questionnaire,n.,問卷，調查表
voucher,n.,禮券，憑證
progressive,adj.,進步的，逐漸的
progressive,n.,進步分子，革新主義者
contradiction,n.,矛盾
narrative,adj.,敘事的
narrative,n.,故事，記敘文
pitcher,n.,大水壺，投手
depict,vt.,描繪，描述
theoretical,adj.,理論上的
expedition,n.,遠征，探險隊
vulnerable,adj.,脆弱的，容易受傷害的
prone,adj.,有...傾向的，俯臥的
evolve,vi.,進化，發展為
evolution,n.,發展，進化
anonymous,adj.,匿名的
