英文,詞性,中文
rival,n.,競爭者，對手
rival,vt.,與...匹敵
rival,a.,競爭的
scandal,n.,醜聞
sandal,n.,(一隻)涼鞋
superstition,n.,迷信
tackle,vt.,處理(問題)
thrill,vt.,使興奮
thrill,n.,興奮，顫抖
thriller,n.,驚悚電影/小說
milestone,n.,里程碑
tuition,n.,學費（不可數）
underline,vt.,在...下面劃線；強調
underline,n.,底線
unforgettable,a.,難忘的
visa,n.,簽證
whereabouts,n.,下落
whereabouts,adv.,在哪裡
wig,n.,(女用)假髮
yacht,n.,遊艇
yacht,vi.,乘遊艇
bodyguard,n.,保鑣
browse,v./n.,隨便看看
browse,vt.,瀏覽(網頁)
rattle,vi.,發出咯咯聲
rattle,n.,咯咯聲
prodigy,n.,天才
stink,vi.,發臭
stink,n.,惡臭
stinky,a.,臭的
depress,vt.,使沮喪，使消沉
appliance,n.,用具(尤指家電用品)
acquaint,vt.,使熟悉；使認識
genre,n.,類型，體裁，風格
sector,n.,(經濟的某一)部門，領域，產業
bias,n.,偏見
bias,vt.,使有偏見
sparkle,vi.,發出火花，閃爍
sparkle,n.,閃耀
sensor,n.,感應器
testify,v.,作證；證實
trophy,n.,獎杯
flexibility,n.,彈性（不可數）
salon,n.,(與美髮、美容相關的)店，廳，院
franchise,n.,特許經營權；投票權
franchise,vt.,給予特許經營權
forge,vt.,打(鐵)；(很努力)形成，產生；偽造
smog,n.,煙霧，霧霾
sob,vi./n.,抽泣，啜泣
soften,vt.,(使)軟化
venue,n.,(舉辦)場所，地點
confine,vt.,監禁；限制
confine,n.,界線；範圍（恆用複數）
defy,vt.,反抗，違抗；激，惹
constraint,n.,限制，約束
correlation,n.,相互關係，關聯
