英文,詞性,中文
indispensable,adj.,不可或缺的，不可或缺的
poke,v.,戳；突出
fascinate,v.,使著迷
fascinating,adj.,迷人的，吸引人的，使人神魂顛倒的
exclaim,v.,喊叫、驚叫
contemplate,v.,沉思、凝視
sprint,v.,短跑
smash,v.,打碎
smash,n.,粉碎
slap,vt.,打耳光
exceptional,adj.,例外的，異常的，特別的
curriculum,n.,課程
loop,n.,圓圈，環形
venture,n.,投機事業
venture,v.,冒險
penetrate,v.,穿透，滲透
penetration,n.,滲透
steer,vt.,引導，駕駛
compound,v.,使混合，擴大，增多，和解
compound,n.,混合物
compound,a.,混合的
confession,n.,供認，承認，招供
trait,n.,特徵，特點，特性
overhead,n.,經常開支
overhead,ad.,在頭頂上，在空中，在高處
clarity,n.,清楚，明晰
surplus,n.,剩餘，過剩，盈餘
deficit,n.,赤字
concede,v.,承認，退讓
coordinate,v.,協調，調節
uncover,v.,揭開...的蓋子，揭露
suburban,a.,郊區的
dedicate,v.,奉獻，獻身於，致力於，題獻給
tactic,n.,戰術，策略，手法
strategic,adj.,戰略的，策略上的
successor,n.,繼承者，接任者
scope,n.,範圍
dilemma,n.,進退兩難
descend,v.,下降，傳下，遺傳
preliminary,adj.,初步的，開始的
exploration,n.,探險，踏勘，探測
competent,adj.,有能力的，能幹的，稱職的
competence,n.,能力
swap,v.,交換
swap,n.,交換
discrimination,n.,歧視
discriminate,v.,區別，差別待遇，歧視
racism,n.,種族主義，人種偏見
