英文,詞性,中文
architect,n.,建築師
architecture,n.,建築學
whereas,conj.,然而
nonetheless,adv.,但是，儘管如此
nowhere,adv.,任何地方都不；無處
vein,n.,靜脈
sustain,vt.,維持(生命)；遭受(損害、損失)
sustainable,adj.,可持續的
motive,n.,動機
impulse,n.,衝動
sacred,adj.,神聖的
extraordinary,adj.,非凡的
suspend,vt.,懸，暫停，中止，吊銷執照
sentiment,n.,情緒；意見、觀點
sentimental,adj.,感傷性的，感情脆弱的
porch,n.,門廊
corridor,n.,走廊，通道
exceed,v.,超過
excessive,adj.,過度的
flawless,adj.,完美無瑕的
lump,v.,歸併到一起
lump,n.,腫塊、隆起
pyramid,n.,金字塔
generate,vt.,產生；引起
generator,n.,發電機
accelerate,v.,加速
digestion,n.,消化
exotic,adj.,異國的
institute,n.,機構、學院
institute,vt.,建立；開始
institution,n.,機構
administration,n.,管理；行政，行政機關
administrative,adj.,管理的，行政的
administrator,n.,行政人員
component,adj.,組成的
component,n.,要素、零件
derive,v.,取得，起源於
originality,n.,獨創性
ultimate,n.,終極、極點
ultimate,adj.,最終的
faculty,n.,教職員、能力
presume,v.,推測；冒昧；佔便宜
presumably,adv.,大概，可能
assumption,n.,推論
session,n.,會議
phase,n.,時期，階段
phase,v.,逐步進行
radiation,n.,輻射
