英文,詞性,中文
landlord,n.,房東
mansion,n.,豪宅
masculine,adj.,男性的，男子氣概的
masculine,n.,陽性
mentor,n.,導師
nasty,adj.,令人反感的
vow,vt.,發誓
vow,n.,誓言
participant,n.,參加者
pulse,n.,脈搏，節拍
pulse,vi.,強烈規律的拍動
reminder,n.,提醒用的物品
refuge,n.,避難，避難處
vegetation,n.,植物
scent,n.,氣味
scent,vt.,聞到，嗅出，充滿芳香
sponge,vt.,擦拭
sponge,n.,海綿
premier,n.,總理，首相
premier,adj.,首要的
rental,n.,出租
superb,adj.,極好的
theft,n.,偷竊
spouse,n.,配偶
undo,vt.,解開，消除
rehearsal,n.,排演，練習
rhetoric,n.,辭令，空洞不實的言論，修辭學
seminar,n.,研討會，講座
vomit,v.,嘔吐
vomit,n.,嘔吐物
distract,vt.,使分心
activist,n.,激進分子
chunk,n.,一大塊
contractor,n.,承包商
lounge,n.,休息室
lounge,vi.,消磨時間
eligible,adj.,合格的
hormone,n.,荷爾蒙
fraud,n.,詐騙，詐欺，騙子
premature,adj.,過早的，早產兒
manipulate,vt.,操縱
recipient,n.,領受人
recipient,adj.,接受的
overturn,vt.,翻倒，打翻
overturn,n.,推翻
pathetic,adj.,可悲的，可憐的
pedestrian,n.,行人
pedestrian,adj.,行人的，單調乏味的
pipeline,n.,管線，輸油管
retail,adj./n./v./adv.,零售的
soar,vi.,急升，飛漲，翱翔
trauma,n.,創傷
trigger,vt.,引發
trigger,n.,扳機，引發物
verdict,n.,裁決，裁定，意見，評論
