英文,詞性,中文
convert,v.,轉變；皈依
conversion,n.,轉變
vague,adj.,模糊的
blur,v.,（使）模糊
blur,n.,模糊的事物
cling,v.,緊抓；堅守
grip,vt.,緊握；吸引
grip,n.,緊握；理解
snatch,vt.,奪取、抓住
snatch,n.,片段
acknowledge,v.,承認
acknowledgement,n.,承認；致謝
storage,n.,儲藏
document,n.,文件
document,vt.,記錄
documentary,adj.,文件的；記錄的
documentary,n.,紀錄片
reverse,vt.,推翻；使相反
reverse,adj.,顛倒的，相反的
reverse,n.,相反；背面
widespread,adj.,廣泛的；普遍的
frontier,n.,邊境；邊疆
undoubtedly,adv.,無庸置疑地
stain,v.,玷污，敗壞
stain,n.,污點
specimen,n.,樣品；標本；樣本
circuit,n.,一圈，一周；電路
myth,n.,神話，迷思，錯誤的想法
enthusiastic,adj.,熱心的，熱情的
rail,n.,鐵路，欄杆，扶手
condemn,v.,譴責
ceremony,n.,典禮
ragged,adj.,破爛的；不整潔的
scramble,v.n.,搶奪；爬行
scramble,vt.,倉促做；炒(蛋)
server,n.,伺服器，服務生
memo,n.,備忘錄
meddle,v.,干涉
stew,v.,煮，燉
stew,n.,燉的食物
decline,v.,婉拒
decline,vi.n.,下跌
conceive,v.,構思，設想；懷孕
conception,n.,看法；觀念；懷孕
inevitable,adj.,無法避免的，必然的
variable,adj.,多變的
variable,n.,變數、可變因素
variation,n.,變化，變動
undergo,vt.,經歷，接受
senator,n.,參議員
sponsor,n.,贊助商
sponsor,vt.,贊助
sponsorship,n.,贊助
jury,n.,陪審團
convict,v.,定罪
convict,n.,囚犯
conviction,n.,定罪，信念
