英文,詞性,中文
passerby,n.,路人
passionate,adj.,熱情的，熱烈的
compassion,n.,同情
compassionate,adj.,有同情心的
pastry,n.,糕點
pillar,n.,柱子
practitioner,n.,職業醫生，律師
prophet,n.,先知，預言家
rack,n.,架子
rack,v.,使受折磨
repay,v.,償還，報答
righteous,adj.,正直的
rod,n.,棍子，棍棒
sneak,v.,鬼鬼祟祟
sneak,n.,偷偷摸摸的人
sneaky,adj.,鬼鬼祟祟的
terminal,adj.,末端的，末期的
terminal,n.,終點，總站，航廈
toxic,adj.,有毒的
vacuum,n.,真空
vacuum,v.,吸塵
wheelchair,n.,輪椅
backyard,n.,後院
chore,n.,雜務
envious,adj.,羨慕的
plural,adj.,複數的
plural,n.,複數形
pirate,n.,海盜，盜印者
pirate,v.,盜印，掠奪
sophomore,n.,大學二年級生
souvenir,n.,紀念品
striking,adj.,醒目的
shuttle,n.,梭子，接駁車
shuttle,v.,往返運送
output,n.,產量，輸出
output,v.,輸出
compulsory,adj.,強迫的，強制性的，義務的
athletics,n.,體育運動
shrug,v.,聳肩
shrug,n.,聳肩
inherit,v.,繼承；經遺傳而得
opt,v.,選擇
chapel,n.,小禮拜堂
infrastructure,n.,基礎建設
entity,n.,實體
inning,n.,棒球一局
emission,n.,排放
placement,n.,放置
theology,n.,神學
supposedly,adv.,據說
surveillance,n.,監視，監督
