英文,詞性,中文
denial,n.,否認，拒絕
compel,v.,迫使
freight,n.,貨物，運送
whisk,v.,攪
whisk,n.,攪拌器
ally,n.,同盟國
ally,v.,使結盟
alliance,n.,結盟
affection,n.,喜愛，鍾愛；愛慕
declaration,n.,宣告，聲明
ethic,n.,道德標準
ethics,n.,倫理學，道德學
ethical,adj.,道德的
statistical,adj.,統計的
rigid,adj.,堅硬的，嚴格的，死板的
province,n.,省
constitutional,adj.,憲法的，散步健身
stumble,v.,絆倒，踉蹌，結巴
rear,n.,後部
rear,adj.,後部的
rear,vt.,撫養
stake,n.,風險，股份，利害關係，賭金
stake,v.,以...打賭
plead,v.,懇求，承認
plea,n.,懇求，抗辯
contend,v.,競爭，堅稱
erect,vt.,建立，豎立
erection,n.,建立
tribute,n.,敬意
olive,n.,橄欖，橄欖色
triple,adj.,三倍的
triple,v.,使成為三倍
triple,n.,三壘打
update,v.,更新，使更新
controversy,n.,爭議
controversial,adj.,有爭議的
illusion,n.,幻覺，錯覺，錯誤的觀念
equation,n.,方程式
equivalent,adj.,相等的
equivalent,n.,相等物
specify,vt.,明確說明
virtual,adj.,幾乎的，虛擬的
neutral,adj.,中立的
neutral,n.,空檔
veteran,n.,老手，退伍軍人，經驗豐富的人
implication,n.,暗示
insight,n.,洞察力，深刻見解
highlight,n.,最精彩的部分
highlight,vt.,強調
thereby,adv.,因此
doctrine,n.,教義，教條
removal,n.,移除
sequence,n.,順序，一連串
sequence,vt.,排序
