英文,詞性,中文
mustard,n.,黃芥末
clause,n.,條款，子句
comedian,n.,喜劇演員
compliment,v.;n.,讚美，恭維
comprehend,vt.,了解
comprehension,n.,理解力
contaminate,vt.,汙染
custody,n.,監護(權)，拘禁(皆不可數)
deceive,vt.,欺騙
deception,n.,欺騙
deceptive,a.,騙人的
deploy,vt.,調動，部署(部隊等)
enchant,vt.,使著迷
mammal,n.,哺乳動物
throne,n.,王位，王權(前須置定冠詞the)，王座
strand,n.,一縷，股(線，頭髮) 
strand,vt.,使擱淺
strap,n.,帶子
strap,vt.,捆住，綁上
sniff,n./vt./vi.,聞 
sniff,n./vi.,大聲吸氣
vocal,a.,聲音的，歌唱的 
vocal,n.,(樂曲)演唱部分(常用複數)
photographic,a.,攝影(用)的
graphic,a.,生動的，寫實的，(電腦)繪圖的 n.,(書籍，電腦上的)圖像(恆用複數)
allocate,vt.,撥出(經費)，配給，分配
accessible,a.,可到達的，易取得的，易理解的
premium,n.,保險費，溢價 
premiun,a.,高級的
inject,vt.,注射(藥物)，投注(心力，資金)
injection,n.,注射，打針
endorse,vt.,為(票據)背書，為(產品)代言，贊同
endorsement,n.,簽署，代言，業配，支持，認可
accounting,n.,會計(學)(不可數)
auction,n.;vt.,拍賣
arrogant,a.,傲慢的
adverse,a.,不利的，負面的
alcoholic,a.,酒精的 
alcoholic,n.,酗酒的人
alongside,prep.,沿著...旁邊(=alongside of) adv.,靠邊地(=along)
articulate,a.,善於表達的，口才好的 
articulate,vt.,明確表達
eloquent,a.,口才好的
calcium,n.,鈣(不可數)
cruise,vi.,(乘船，飛機)航行，(車緩慢)巡行，巡邏 n.,乘船遊蕩
ecology,n.,生態環境
ecological,a.,生態(學)的
ecosystem,n.,生態系統
cocaine,n.,古柯鹼
directory,n.,簿，冊，名錄
