英文,詞性,中文
maintenance,n.,維持 維修
substantial,adj.,大量的
prospect,n.,可能性 前途
justify,v.,使合理化
justification,n.,正當的理由
contemporary,adj.,現代的
league,n.,聯盟 結盟
notion,n.,想法
alter,v.,改變
alteration,n.,改變
supreme,adj.,至高無上的
execute,v.,執行 處死
executive,adj.,執行的
execution,n.,執行
submit,v.,遞交 服從
submission,n.,屈服
submissive,adj.,服從的
estate,n.,財產
interior,adj.n.,內部的 內部
exterior,adj.n.,外部的
scheme,n.,策劃 詭計
partly,adv.,部分地
purchase,v.,購買
cite,v.,引用
proportion,n.,部分
ratio,n.,比例
yield,v.,出產
hence,adv.,因此
prevail,v.,普遍
prevailing,adj.,普遍的
overall,adj.,全部的
awe,n.,敬畏
barren,adj.,荒蕪的 不孕的
vendor,n.,小販
scenario,n.,局面
sophisticated,adj.,世故的
naïve,adj.,天真的
attribute,n.,特性
transit,n.,運輸 通過
transition,n.,轉變
unprecedented,adj.,史無前例的
whatsoever,adv.,無論怎樣
