英文,詞性,中文
exile,n./vt.,被放逐者;放逐，流放
extinct,adj.,絕種的
extinction,n.,絕種
format,n./v.,格式、安排;格式化、編排
gloomy,adj.,抑沈的，憂悶的，黑暗的，悲觀的
gorgeous,adj.,極好的；絢爛美麗的
gravity,n.,重力，嚴重性
greed,n.,貪心
moan,n./vi.,呻吟，悲嘆;呻吟，抱怨
whine,n./v.,哀鳴聲;牢騷
guideline,n.,指導方針
handicapped,adj.,殘障的
lame,adj.,跛足的，沒說服力的
heir,n.,繼承人
herb,n.,藥草
hostage,n.,人質
idiot,n.,白癡
mint,n.,薄荷
tangle,v./n.,糾結、糾纏;糾結、糾纏
columnist,n.,專欄作家
witty,adj.,機智的；風趣的
consecutive,adj.,連續不斷的
consensus,n.,共識
debris,n.,殘骸；碎片
debut,n./v.,初次登場;初次登場
expertise,n.,專業知識
facilitate,v.,幫助，促進
genetic,adj.,遺傳學的，基因的
genetics,n.,基因學
immune,adj.,免疫的
drought,n.,乾旱
kidnap,v.,綁架
forum,n.,論壇
grill,n./vt.,烤架;烤
implement,n.,工具，器具;
implement,vt.,執行
insane,adj.,瘋狂的
recession,n.,經濟衰退
nutrition,n.,營養
nutrient,adj.,營養的，滋養的
migration,n.,遷移
optional,adj.,可選擇的；選修的
medication,n.,藥物
vinegar,n.,醋
