英文,詞性,中文
hairstyle,n.,髮型
hockey,n.,曲棍球
howl,vi./n.,狗、狼等的嚎叫
laser,n.,雷射
massage,vt./n.,按摩
masterpiece,n.,傑作
wreath,n.,花環
torch,n.,火把
torch,vt.,蓄意)縱火
performer,n.,表演者
errand,n.,差事，出差
qualify,v.,使)有資格
operational,a.,操作上的
customs,n.,海關(恆用複數)
spicy,a.,加了香料)辛辣的
negotiation,n.,協商(常用複數)
incorporate,vt.,使結合，合併
amend,vt.,修訂，修正(法律、文件等)，改善(錯誤、糟糕的情況等)
casino,n.,賭場
mortgage,n./vt.,典當，抵押
cripple,vt.,使成跛子
cripple,n.,跛子(有輕視意味)
intensify,vt.,增強，強化
intensify,vi.,加劇
overtake,vt.,速度、數量或程度上)超越，趕上
oversee,vt.,監督，監察
marine,a.,海洋的
marine,n.,美國)海軍陸戰隊士兵
infect,vt.,使感染
mortality,n.,必死(性)，死亡率
compliance,n.,服從，遵守
equity,n.,公平，公正，資產淨值，股票
envision,vt.,想像
ideology,n.,意識形態，思想體系
pedal,n.,踏板
pedal,v.,騎(自行車)
petition,n.,請願書，申訴書，訴狀
petition,v.,請願，申訴
quota,n.,限額，定額
reassure,vt.,使放心，使消除疑慮
array,n.,一批，一系列
disrupt,vt.,中斷，擾亂
dreadful,a.,可怕的，很爛的
indigenous,a.,本地的，土生土長的，當地的
mandate,n.,命令，指令，(選民對所選領導者的)授權，委任
mandate,vt.,命令
nonprofit,a.,非營利的
pickup,n.,接(人)，取(物)，增加，提高
stance,n.,立場，站姿
thesis,n.,論文，論點
