英文,詞性,中文
antique,n.,古董
antique,adj.,古董的，古老的
shield,n.,盾牌
shield,vt.,保護(~ A from B)
ass,n.,驢子
astonish,vt.,使驚訝
astonishment,n.,驚訝
ballot,n.,選票，不記名投票
ban,v.,下令禁止
ban,n.,禁令
belongings,n.,所有物（恆用複數）
beneficial,adj.,有益的，對...有利
beware,v.,當心
wary,adj.,小心的，警惕的
blueprint,n.,藍圖
bolt,n.,門栓，螺絲，一道閃電
bolt,vi.,快速移動，逃走
bonus,n.,紅利，獎金
boom,n./vi.,突然增長，迅速發展
thrive,vi.,繁榮，興隆，茁壯成長
guts,n.,膽量（恆用複數）
boxer,n.,拳擊手
bully,v.,欺負，霸凌
bully,n.,惡霸
canal,n.,運河
celebrity,n.,名人，名聲
certificate,n.,證書，證明
certificate,vt.,發證書給
check-in,n.,辦理住房，登機手續
checkout,n.,結帳離開，檢查
speculate,v.,推測
comparable,adj.,可比較的
undermine,vt.,逐漸損壞，削弱
conservation,n.,保護，保存
script,n.,腳本，劇本
script,vt.,替...寫劇本
crucial,adj.,關鍵性的，重要的
trivial,adj.,瑣碎的，不重要的
petty,adj.,瑣碎的，不重要的
unemployment,n.,失業
projection,n.,推測，預估，投射
therapy,n.,療法
therapist,n.,治療師
squad,n.,小隊，小組
prosecution,n.,起訴
outfit,n.,全套服裝
squash,vt.,壓扁
squash,v.,擠入
squash,n.,擁擠
irony,n.,諷刺
domain,n.,領土，領域，範圍
upgrade,vt./n.,升級
