英文,詞性,中文
manifest,v.,表現
manifest,adj.,明顯的，清楚的
commute,vi. n.,通勤
commuter,n.,通勤者
comply,vi.,順從，遵守（+with）
conform,vi.,遵守
wither,vi.,枯萎
indulge,v.,沈迷，縱容（+in）
consent,n. vi.,同意（+to N/Ving）
briefcase,n.,公事包
hostile,adj.,有敵意的，惡劣的
hostility,n.,敵意（have ~ toward sb）
agony,n.,痛苦
quest,n.,探索，尋覓
muscular,adj.,肌肉發達的，健壯的
ego,n.,自我，自尊心
resort,vi. n.,訴諸（+to），度假勝地
immense,adj.,巨大的
carbon,n.,碳
applause,n.,鼓掌（不可數）
assault,n. vt.,襲擊
corruption,n.,腐敗，貪汙
corrupt,adj.,腐敗的，貪汙的
corrupt,vt.,使腐敗
glee,n.,快樂
stalk,vt. n.,跟蹤，莖，枝節
realism,n.,實際情況，現實主義
episode,n.,事件，一段經歷，一集
dome,n.,圓屋頂
dome,vt.,把圓屋頂蓋在......上
minimal,adj.,最小的
minimize,vt.,使降到最低，輕描淡寫
prescribe,vt.,開處方，規定
prescription,n.,處方，藥方
legendary,adj.,傳奇的，傳說的
organism,n.,有機體
explicit,adj.,明確的
stimulate,vt.,刺激，激勵，促進
stimulus,n.,刺激，激勵
spectrum,n.,光譜
intervention,n.,干預
sibling,n.,兄弟姊妹
ritual,n.,儀式，例行公事
ritual,adj.,儀式的
offering,n.,祭品，奉獻
chaos,n.,混亂（不可數）
