英文,詞性,中文
sheriff,n.,警長
housing,n.,房屋，住宅
treaty,n.,條約，協定
accord,n.,一致，符合
combat,n.,戰鬥
warrior,n.,戰士
destructive,adj.,破壞性的
supervise,v.,監督，管理，指導
supervisor,n.,監督者，管理人，指導者
supervision,n.,監督，管理
mumble,v.,含糊地說
lumber,n.,木材
segment,n.,部分，部門，切片
realm,n.,領域
mode,n.,模式，方式
exclude,v.,排除
excluding,prep.,不包括...在內
exclusive,adj.,排外的，排他的，專有的，不包括的
scar,n.,傷疤
tile,n.,平鋪磚瓦，瓷磚，瓦片
tile,vt.,鋪以瓦，鋪以瓷磚
plunge,v.,驟然落下
prolong,v.,延長，拖延，拖長
civic,adj.,城市的，市民的
citizenship,n.,公民身分(權利)
spectator,n.,觀眾
viewer,n.,觀眾
viewpoint,n.,觀點，視角
ample,adj.,充足的，豐富的
shatter,v.,破滅，使粉碎，打碎
batch,n.,一批，一群
mattress,n.,床墊
inquiry,n.,詢問，探問；質詢，調查
morality,n.,道德
characterize,v.,描繪...的特性，具有...的特徵
collector,n.,收集者，收藏家
collective,adj.,集體的，共同的
subsequent,adj.,隨後的，後來的
municipal,adj.,市立的
comprise,v.,包括，由...組成
credibility,n.,可信性
miniature,adj.,小型的，微小的
unfold,v.,展開，呈現
