英文,詞性,中文
butcher,n.,屠夫
butcher,vt.,屠宰
carnival,n.,嘉年華，園遊會
chef,n.,廚師
cuisine,n.,菜餚
considerate,adj.,體貼的
democrat,n.,美國民主黨員
republican,n.,美國共和黨員
republican,adj.,共和政體的
descriptive,adj.,描寫的
exaggeration,n.,誇張
fad,n.,一時的流行
filter,vt.,過濾
filter,n.,過濾器
gasp,vi.n.,倒抽一口氣，喘氣
glare,vi.n.,怒視
glare,n.,刺眼強光
warehouse,n.,倉庫
warehouse,vt.,把......放入倉庫
cognitive,adj.,認知的
collaboration,n.,合作
icon,n.,電腦圖示，偶像，知名代表物
disconnect,vt.,切斷電話，電源
arouse,vt.,激發，引起，喚醒
courteous,adj.,有禮貌的
risky,adj.,危險的，有風險的
grieve,v.,使悲痛
terrify,vt.,使恐懼，使害怕
external,adj.,外部的
external,n.,外觀，外形
legacy,n.,遺產，歷史遺產
defendant,n.,被告
interference,n.,阻礙，干預（不可數）
discourse,n.,交談，談話，論文，文章
portfolio,n.,公事包，作品集，投資組合
predator,n.,捕食者，掠食者
provision,n.,準備，供應，糧食（恆複）
recite,vt.,背誦
escalator,n.,電扶梯
honorable,adj.,可尊敬的，品德高尚的
reservoir,n.,蓄水池，水庫
fiscal,adj.,財務的，會計的
judicial,adj.,司法的，法庭判定的
liability,n.,法律上的責任，義務，債務，負債，麻煩
premise,n.,前提，假定，建築物及周圍土地，場所（恆複）
hypothesis,n.,假設，假說
siege,n.,圍攻
subsidy,n.,補助金，津貼
