英文,詞性,中文
sober,adj.,清醒的，沒醉的
sober,v.,冷靜，嚴肅
ridiculous,adj.,荒謬的，可笑的
absurd,adj.,不合理的，荒謬的
beloved,adj.,心愛的，受鍾愛的
beloved,n.,心愛的人
continental,adj.,大陸的，洲的
sturdy,adj.,堅韌的，耐用的，健壯的
stout,adj.,結實的，堅固的
structural,adj.,結構的
preference,n.,偏愛
apt,adj.,有...傾向的
blast,n.,一陣強風，氣流；爆炸
blast,v.,爆破
doorway,n.,門口
driveway,n.,車道
jug,n.,壺，罐；一壺，罐的容量
jug,vt.,用陶罐燉煮
artifact,n.,歷史文物；古物
inherent,adj.,固有的，與生俱來的
slavery,n.,奴隸身分，奴隸制度
abuse,n.,虐待，辱罵，濫用
valid,adj.,有效力的，令人信服的
fluid,n.,流體
fluid,adj.,不固定的，不穩定的
hazard,n.,危險，隱憂
hazard,vt.,冒險做
reinforce,vt.,加強，補強，增援
subtle,adj.,微妙的，細微的
dissolve,v.,溶解
assess,vt.,評估，對...估價
assessment,n.,評估
coincidence,n.,巧合
deputy,n.,代理人，副手
certainty,n.,確定性，確定的事
suite,n.,套房
attic,n.,閣樓
regime,n.,政權，政體
viable,adj.,可實施的，可以養活，生長發育的
haul,vt./n.,托運，拖拉，旅程，路途
bulk,n.,大部分，大量
via,prep.,經由
patron,n.,顧客，贊助人
orchard,n.,果園
compromise,v./n.,妥協，讓步
sow,vt.,播種
odds,n.,不平等，幾率，機會，勝算
bruise,n.,瘀青
