英文,詞性,中文
fiber,n.,纖維
correspondent,n.,特派員
gathering,n.,聚會
rally,v.,召集
rally,n.,集會
eternal,adj.,永恆的
bound,adj.,必然的；前往......的
bound,n.,跳躍；界線
bound,vi.,跳躍
boundless,adj.,無限的，無窮的
boundary,n.,分界線；界限
diameter,n.,直徑
agricultural,adj.,農業的
gross,adj.,總共的；噁心的
gross,vt.,總收入為
gross,n.,總收入
elaborate,adj.,精緻的
elaborate,v.,詳細說明
fraction,n.,小部分；微量
straighten,v.,變直；整理
patent,n.,專利(權)
patent,vt.,取得專利
patent,adj.,專利的
copyright,n.,版權
copyright,vt.,取得版權
poetic,adj.,詩的
substitute,v.,代替
substitute,n.,代替品；代替者
sensitivity,n.,體貼；敏感
anticipate,v.,預期，期待
version,n.,版本；改編形式
undertake,vt.,承接，進行；承諾
assert,vt.,堅稱；維護，堅持
interval,n.,間隔（時間）
integrate,vt.,使整合
integration,n.,整合
regardless,adv.,無論如何
regardless,adj.,不留心的
opponent,n.,對手
opposition,n.,反對
alternate,n.,替代者
alternate,v.,交替
alternate,adj.,交替的；間隔的
dimension,n.,方面；尺寸，面積；嚴重性
render,vt.,使成為；提供；翻譯
revenue,n.,稅收；收入
core,n.,果核，核心
transaction,n.,交易
integrity,n.,正直
sensation,n.,感覺，知覺，轟動
sensational,adj.,轟動的
boredom,n.,無聊
banner,n.,旗幟，長布條
chubby,adj.,圓胖的
perspective,n.,觀點，透視的
