英文,詞性,中文
slam,v.,猛然關上
slam,n.,砰的一聲
currency,n.,貨幣
likelihood,n.,可能性
shiver,v./n.,（寒冷、害怕地）發抖
quiver,v./n.,（因強烈情緒而 ）顫抖
counsel,n.,忠告（不可數）
counsel,v.,勸告 建議
counselor,n.,顧問 輔導員
vertical,adj.,垂直的
vertical,n.,垂直線 垂直面
horizontal,adj.,水平的
scrap,n.,一小片（紙、布）
scrap,v.,廢棄
dialect,n.,方言
understandable,adj.,可理解的
creek,n.,小溪
squat,v./n.,蹲下
squat,adj.,矮胖的
delegate,n.,代表
delegate,v.,委派 委託
delegation,n.,代表團
bid,v./n.,出價 競標
profile,n./vt.,簡介
profile,n.,側面像
grim,adj.,嚴肅的 沮喪的 令人不快的
clinical,adj.,臨床的
spectacular,adj.,壯觀的 驚人的
spectacular,n.,壯觀場面 盛大演出
fabulous,adj.,極好的
toll,n.,過路費 傷亡人數
toll,vi.,（鐘聲）響起
complexity,n.,復雜性 復雜之處
complication,n.,併發症 複雜 困難
betray,vt.,背叛 暴露
traitor,n.,叛徒
radical,adj.,激進的 基本的
radical,n.,激進分子
legitimate,adj.,合理的 合法的
legitimate,vt.,使合理化 使合法化
exploit,vt.,剝削 利用
exploit,n.,功績
monopoly,n.,獨佔 專賣 壟斷
installation,n.,就職 安裝 設備
tumor,n.,腫瘤
coverage,n.,新聞報導 保險 涵蓋範圍
missionary,n.,傳教士
missionary,adj.,傳教的
decent,adj.,正派的 正直的 像樣的
rational,adj.,合理的 理性的
sovereignty,n.,統治權 主權
lawsuit,n.,訴訟
likewise,adv.,同樣地
consumption,n.,消耗 攝取 消費
productivity,n.,生產力
windshield,n.,擋風玻璃
