英文,詞性,中文
abrupt,adj.,突然的，唐突的
patch,n.,補丁，一小片(土地，污漬)
patch,v.,修補
crystal,n.,水晶
crystal,adj.,水晶的，清澈的
worthy,adj.,值得的(be ~ of+ N/Ving)
worthwhile,adj.,值得的(It is ~ to V)
colonial,adj.,殖民的
colonial,n.,殖民地居民
midst,n.,中間(in the ~ of)
midst,prep.,在...之中
startle,v.,使驚訝
devotion,n.,奉獻，獻身
thrust,n./v.,猛推，猛刺
modify,v.,修改
modification,n.,修改
layer,n.,層
layer,vt.,按層排列 / 擺放
despair,n.,絕望
despair,vi.,感到絕望
overwhelm,v.,戰勝，使不知所措，淹沒（be ~ed by）
overwhelming,adj.,壓倒性的，超越情感所能負荷的
embrace,v./n.,擁抱
ranch,n.,農/牧場
ranch,v.,在農/牧場工作，經營農/牧場
shortage,n.,不足，匱乏
ridge,n.,山脊
patrol,vt./n.,巡邏
lest,conj.,免得，以免
destiny,n.,命運，天命
destination,n.,目的地
prey,v.,捕食（+on sth.）
prey,n.,獵物（集合名詞不可數）
flip,vt.,翻轉，擲（硬幣）
flip,n.,空翻
obligation,n.,義務，責任
authorize,vt.,授權，認可
presidency,n.,（總統的）任期，職位
presidential,adj.,總統的，總統選舉的
utility,n.,水電瓦斯，效用
utilize,vt.,利用
commitment,n.,承諾，奉獻
deliberate,adj.,故意的，謹慎的
deliberate,v.,深思熟慮的
profound,adj.,深遠的，很有深度的
persist,vi.,堅持，持續
mechanism,n.,機械裝置，制度，體制，機制
texture,n.,質地，口感
texture,vt.,紋理
canvas,n.,帆布，油畫
canvas,vt.,用帆布覆蓋
initiate,vt.,開始，傳授基本知識，接納新成員
initiate,n.,新加入者
initiate,adj.,新加入的
initiative,n.,自發性，進取心，主動，倡議，新措施
initiative,adj.,開始的
metropolitan,adj.,大都市的
metropolitan,n.,住在大都市的人
