,,,
agent,n.[C],特務；（企業、政治等的）代理人；經紀人
agency,n.[C],服務機構；（尤指）代理機構
burst,vi.,猛衝；突然出現；突然（大哭、大笑等）
burst,n.[C],突然爆發
slip,vt.,悄悄塞；迅速放置
slip,vi.,滑；滑倒
slip,n.[C],紙條；小紙片
arrest,vt.,逮捕
arrest,n.[U C],逮捕
sigh,n.[C],嘆氣；嘆息
sigh,vi.,嘆氣；嘆息
compassionate,adj.,有同情心的；表示憐憫的
compassion,n.[U],同情；憐憫
seize,vt.,奪取；攻占；（用手）抓住；奪
starvation,n.[U],飢餓；餓死
seal,vt.,（軍隊、警察等）封鎖；關閉；密封
seal,n.[C],印章；圖章；印記
recruit,vt.,動員（某人）以幫助
recruit,vi.,徵募；吸收（新成員）
colleague,n.[C],同事；同僚
sneak,vt.,偷帶；偷拿
sneak,vi.,偷偷地走；溜
obtain,vt.,獲得；贏得
convince,vt.,說服；勸說（某人做某事）；使相信；使信服
suitcase,n.[C],行李箱
sack,n.[C],麻布（或厚紙、塑膠等）大袋
smuggle,vt.,偷運；走私
smuggler,n.[C],偷運者；走私者
ambulance,n.[C],救護車
courageous,adj.,勇敢的；無畏的
execution,n.[U C],處決；處死；
execution,n.[U],執行；實施
execute,vt.,處決；處死；執行；實施
fake,adj.,偽造的；假的；仿製的
fake,n.[C],假貨；贋品
fake,vt.,偽造；冒充
document,n.[C],證件；文件
admit,vt. vi.,承認
bravery,n.[U],勇敢
from top to bottom, ,徹底地
breath a sigh of relief, ,(如釋重負地)鬆了一口氣
drown out..., ,壓過（...聲音）
take in..., ,收留
keep a record, ,做紀錄
to this day, ,直到如今；甚至現在
